Date,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,Metro_status,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
2/8/23,Gooding County,ID,97.7,7939,52.3,7901,55.9,7678,61.5,7150,64.4,2249,82.9,6973,45.9,6958,49.2,625,20.6,6778,54.3,6333,57.1,2069,76.3,3034,43.5,3034,43.6,3009,44.4,2928,46.2,2184,60,1421,68.7,998,45.7,751,52.9,Non-metro,15179,14132,3032,12494,11100,2712,1289,9.1,1274,10.2,1240,11.2,786,29
2/8/23,Dent County,MO,91.3,6655,42.7,6646,45.4,6543,49.3,6269,51.7,2297,66,5567,35.7,5566,38,329,13.1,5488,41.4,5237,43.2,1927,55.4,2422,43.5,2422,43.5,2413,44,2374,45.3,1906,55.7,1263,65.5,880,46.2,683,54.1,Non-metro,15573,14639,2520,13271,12119,3478,1070,7.3,1066,8,1059,8.7,711,20.4
2/8/23,Rush County,KS,93.9,1737,57.2,1734,60.3,1713,64.8,1649,68.2,684,88.6,1591,52.4,1590,55.3,72,15.7,1572,59.5,1518,62.8,641,83,826,51.9,826,51.9,822,52.3,818,53.9,676,62.9,459,71.6,320,47.3,253,55.1,Non-metro,3036,2877,459,2643,2418,772,255,8.9,253,9.6,251,10.4,166,21.5
2/8/23,Covington city,VA,78.2,2276,41.1,2276,43.5,2272,47.4,2193,50,797,72.1,1883,34,1883,36,74,8.7,1879,39.2,1809,41.2,656,59.3,16,0.8,16,0.8,16,0.9,15,0.8,10,0.8,6,0.9,9,90,6,95,Non-metro,5538,5237,849,4789,4388,1106,21,0.4,21,0.4,20,0.5,10,0.9
2/8/23,Swisher County,TX,98.9,3409,46.1,3400,48.9,3366,54.3,3229,57.9,1034,79.2,3018,40.8,3018,43.4,137,9.9,2993,48.3,2881,51.7,935,71.6,1314,43.5,1314,43.5,1314,43.9,1308,45.4,948,56.2,577,61.7,335,35.3,240,41.6,Non-metro,7397,6951,1378,6197,5573,1305,438,6.3,438,7.1,437,7.8,244,18.7
2/8/23,Greene County,MS,98.1,5807,42.7,5801,45,5738,48.1,5521,50.3,1327,64,5175,38.1,5175,40.2,241,12.5,5133,43,4934,45,1224,59,2115,40.9,2115,40.9,2113,41.2,2086,42.3,1474,53.7,770,62.9,398,27,247,32.1,Non-metro,13586,12888,1922,11940,10966,2074,313,2.4,312,2.6,306,2.8,173,8.3
2/8/23,Logan County,ND,92.7,837,45.2,837,48.2,825,52.4,810,56.5,423,86,728,39.4,728,41.9,20,6.6,722,45.8,708,49.4,381,77.4,384,52.7,384,52.7,384,53.2,381,53.8,337,61.4,260,68.2,145,43,123,47.3,Non-metro,1850,1736,303,1575,1433,492,181,10.4,181,11.5,180,12.6,134,27.2
2/8/23,Utah County,UT,97.7,438831,69,433889,75.1,404174,81.4,357534,83.7,51550,95,383661,60.3,382117,66.1,65316,43.3,357446,72,316801,74.2,47358,93.8,166655,43.4,166594,43.6,161679,45.2,150753,47.6,69863,67.2,36171,76.4,31991,45.8,19717,54.5,Metro,636235,577892,150942,496265,426950,50490,57381,9.9,54776,11,50759,11.9,17960,35.6
2/8/23,Perkins County,SD,96.7,1067,37.2,1067,39.6,1063,43.3,1052,46.3,508,66.8,936,32.7,936,34.8,15,3.6,933,38,921,40.6,457,60.1,489,52.2,489,52.2,489,52.4,486,52.8,402,58.7,297,65,128,31.8,95,32,Non-metro,2865,2692,421,2457,2271,760,161,6,161,6.6,161,7.1,109,14.3
2/8/23,Wayne County,MI,94.2,1028132,58.8,,,,,,,,,971933,55.6,970608,59.4,84584,28.4,947550,64.2,886024,66.3,230895,83.5,521985,53.7,521949,53.8,515707,54.4,496713,56.1,329290,67.4,175606,76.1,109497,33.3,69319,39.5,Metro,1749343,1634690,297641,1475567,1337049,276530,117415,7.2,114486,7.8,110310,8.3,49742,18
2/8/23,Guernsey County,OH,98.6,18882,48.6,18841,51.5,18522,55.6,17754,58.6,6492,83.2,17690,45.5,17681,48.3,963,15.3,17408,52.3,16718,55.2,6225,79.8,9391,53.1,9391,53.1,9356,53.7,9212,55.1,7277,65.3,4598,73.9,3614,49.7,2646,57.5,Non-metro,38875,36595,6285,33292,30310,7802,3396,9.3,3378,10.1,3332,11,2142,27.5
2/8/23,Skagit County,WA,96,99271,76.8,98614,81,94725,85.6,88172,86.9,28408,95,90014,69.7,89677,73.7,9243,45.6,86346,78,80434,79.3,26477,95,53712,59.7,53686,59.9,52653,61,50359,62.6,35604,76,22373,84.5,23257,65.3,16429,73.4,Metro,129205,121712,20287,110714,101425,27780,28987,23.8,28438,25.7,27612,27.2,15806,56.9
2/8/23,Bayfield County,WI,96.7,14365,95,14286,95,13787,95,13073,95,5033,95,12992,86.4,12954,90.2,996,51.7,12528,93.7,11958,95,4736,95,8303,63.9,8302,64.1,8200,65.5,7947,66.5,6243,74.5,3879,81.9,4238,67.9,2983,76.9,Non-metro,15036,14357,1926,13368,12431,4245,5145,35.8,5101,38.2,5024,40.4,3069,72.3
2/8/23,Tyrrell County,NC,96.8,2371,59,2371,62,2313,65.5,2194,66.7,726,89.6,2037,50.7,2037,53.2,143,26.5,1994,56.4,1894,57.6,646,79.8,884,43.4,884,43.4,879,44.1,866,45.7,718,58,452,70,305,42.5,224,49.6,Non-metro,4016,3827,539,3533,3288,810,350,9.1,346,9.8,345,10.5,210,25.9
2/8/23,Deuel County,SD,96.7,2492,57.3,2488,60.8,2443,66.3,2326,69.5,916,95,2130,49,2130,52.1,127,17.1,2090,56.7,2003,59.8,821,85.6,975,45.8,975,45.8,970,46.4,957,47.8,798,58.7,510,62.1,357,44.7,273,53.5,Non-metro,4351,4089,741,3684,3348,959,476,11.6,476,12.9,473,14.1,321,33.5
2/8/23,Weber County,UT,97.7,182692,70.2,181520,75.4,172500,81.3,156297,83.2,32480,95,164542,63.2,164064,68.2,21934,41.4,156808,73.9,142130,75.7,30301,95,78405,47.7,78389,47.8,77157,49.2,73338,51.6,43712,68.6,23861,78.7,23085,52.8,14704,61.6,Metro,260213,240735,52969,212084,187766,30870,31721,13.2,31028,14.6,29839,15.9,13631,44.2
2/8/23,Buncombe County,NC,96.8,273006,95,270562,95,260824,95,246882,95,75249,95,197414,75.6,196170,78.9,16939,48.7,189407,82.3,179231,83.8,56477,95,73388,37.2,73324,37.4,72066,38,69347,38.7,47335,47.4,29484,52.2,21691,45.8,14850,50.4,Metro,261191,248550,34773,230148,213777,53494,60343,24.3,59095,25.7,57287,26.8,27914,52.2
2/8/23,Issaquena County,MS,98.1,687,51.8,687,53.2,677,54.3,640,54,97,43.9,604,45.5,604,46.8,39,36.8,595,47.8,565,47.7,90,40.7,230,38.1,230,38.1,230,38.7,227,40.2,157,61.6,70,77.8,34,21.7,14,20,Non-metro,1327,1291,106,1246,1185,221,21,1.6,21,1.7,19,1.6,5,2.3
2/8/23,Rockdale County,GA,88.9,54281,59.7,54114,63.2,52399,67.8,48422,70.3,12378,91.2,47881,52.7,47832,55.9,4645,27.7,46497,60.2,43187,62.7,11437,84.3,23566,49.2,23566,49.3,23379,50.3,22525,52.2,16142,64.6,8440,73.8,7433,46,4513,53.5,Metro,90896,85637,16748,77230,68889,13574,9164,10.7,9095,11.8,8871,12.9,4336,31.9
2/8/23,Addison County,VT,73.3,31297,85.1,30754,87.3,29153,88.6,27266,88.8,7578,95,27601,75,27263,77.4,3233,72,25796,78.4,24030,78.2,7042,92.7,20008,72.5,19995,73.3,19336,75,18145,75.5,11499,86.4,6449,91.6,8539,74.3,5335,82.7,Non-metro,36777,35214,4493,32902,30721,7598,12596,35.8,12191,37.1,11641,37.9,5115,67.3
2/8/23,Madison County,FL,98.6,10533,57,10529,59.8,10371,63.7,9757,64.7,3424,87.7,8955,48.4,8955,50.8,608,24.1,8843,54.3,8347,55.3,3140,80.5,3888,43.4,3888,43.4,3881,43.9,3816,45.7,3172,55.8,2008,63.9,1194,37.6,872,43.4,Non-metro,18493,17613,2525,16277,15088,3902,959,5.4,958,5.9,939,6.2,580,14.9
2/8/23,Benton County,MS,98.1,5136,62.2,5134,65.9,5052,70.9,4783,73.6,1528,95,4450,53.9,4450,57.1,265,20.5,4396,61.7,4185,64.4,1399,89.3,1837,41.3,1837,41.3,1830,41.6,1809,43.2,1487,53.9,898,64.2,535,36,375,41.8,Metro,8259,7791,1293,7127,6498,1566,484,6.2,480,6.7,478,7.4,305,19.5
2/8/23,Door County,WI,96.7,24259,87.7,24129,90.8,23455,94.2,22373,95,9656,95,22625,81.8,22525,84.7,1615,47.4,21883,87.9,20910,90.2,9126,95,15322,67.7,15318,68,15142,69.2,14766,70.6,11741,79.9,7772,85.2,8081,68.8,5931,76.3,Non-metro,27668,26579,3408,24890,23171,8437,9000,33.9,8892,35.7,8724,37.7,5904,70
2/8/23,Goodhue County,MN,94.7,33809,73,33477,76.6,31912,80.3,29769,82.5,9390,95,31861,68.8,31663,72.4,3435,45.1,30298,76.3,28228,78.2,9052,95,20863,65.5,20859,65.9,20416,67.4,19532,69.2,13558,80,7939,87.7,9627,71,6372,80.3,Non-metro,46340,43720,7623,39733,36097,9337,11828,27.1,11572,29.1,11228,31.1,6060,64.9
2/8/23,Gaines County,TX,98.9,5550,25.8,5544,28.8,5396,33.2,5042,36.7,1121,58.8,4770,22.2,4769,24.8,393,7.1,4663,28.7,4376,31.9,1007,52.8,1370,28.7,1370,28.7,1364,29.3,1348,30.8,963,41.1,492,48.9,230,23.9,158,32.1,Non-metro,21492,19237,5507,16272,13730,1907,347,1.8,344,2.1,338,2.5,171,9
2/8/23,Guayama Municipio,PR,97.8,31645,80.2,31588,83.1,29604,84.1,27106,84.5,6917,91.9,29619,75.1,29598,77.8,4134,69.5,27829,79.1,25464,79.4,6506,86.4,21278,71.8,21276,71.9,21142,76,19456,76.4,10942,83.4,5574,85.7,4539,41.5,2707,48.6,Metro,39465,38033,5944,35197,32089,7530,3365,8.8,3346,9.5,3266,10.2,1735,23
2/8/23,Yadkin County,NC,96.8,26098,69.3,26036,72.9,25590,78.4,24419,81.8,8868,95,20285,53.9,20256,56.7,1265,21.6,19905,60.9,18991,63.6,6973,90.4,6001,29.6,6001,29.6,5963,30,5831,30.7,4724,36.9,3019,43.3,1505,31.9,1119,37.1,Metro,37667,35700,5849,32660,29851,7711,3663,10.3,3643,11.2,3581,12,2213,28.7
2/8/23,Columbia County,AR,92.1,14743,62.9,14726,66.6,14349,71,13433,72.2,4069,95,11981,51.1,11975,54.1,1001,28.6,11695,57.9,10974,58.9,3414,82.1,4461,37.2,4461,37.3,4399,37.6,4326,39.4,3246,50.5,2007,58.8,1203,37.1,853,42.5,Non-metro,23457,22121,3504,20211,18617,4160,1431,6.5,1424,7,1407,7.6,886,21.3
2/8/23,Frederick County,MD,98.2,239297,92.2,236148,95,221992,95,202920,95,42660,95,213887,82.4,211698,86.7,30385,68,198788,90.1,181313,90.9,39109,95,126106,59,125898,59.5,122165,61.5,114367,63.1,65913,74.2,32089,82.1,40608,61.6,22441,69.9,Metro,259547,244221,44664,220706,199557,38454,60487,24.8,58388,26.5,55497,27.8,20834,54.2
2/8/23,Salem County,NJ,94.1,45430,72.8,45339,77,43860,81.7,41360,84.3,12239,95,36351,58.3,36311,61.6,3216,32.6,35194,65.6,33095,67.5,9600,80.9,19335,53.2,19331,53.2,19198,54.5,18673,56.4,13089,68.4,7341,76.5,5800,44.3,3883,52.9,Metro,62385,58916,9865,53679,49051,11871,7692,13.1,7643,14.2,7486,15.3,4039,34
2/8/23,Unknown County,CT,98.2,90087,,89833,,87679,,84135,,15376,,53476,,53381,,3126,,52045,,50255,,8712,,31368,58.7,31361,58.7,31174,59.9,30355,60.4,18572,87.5,11920,95,2499,13.5,1292,10.8,,,,,,,,17306,,17103,,16660,,3965,
2/8/23,Taney County,MO,91.3,27725,49.6,27695,52.4,27213,56.3,25804,58.3,9421,76.1,23479,42,23463,44.4,1585,18.4,23084,47.7,21878,49.4,8014,64.7,9679,41.2,9679,41.3,9626,41.7,9442,43.2,7451,54.6,5007,62.5,3451,46.3,2577,51.5,Non-metro,55928,52843,8600,48369,44243,12379,4298,8.1,4270,8.8,4220,9.5,2814,22.7
2/8/23,Richland County,ND,92.7,10150,62.7,10080,66.4,9728,70.6,9204,72.8,2983,95,8907,55.1,8885,58.6,758,30,8595,62.4,8127,64.3,2647,87.6,4922,55.3,4922,55.4,4852,56.5,4683,57.6,3502,69.6,2072,78.3,2024,57.8,1379,66.6,Non-metro,16177,15171,2530,13777,12641,3021,2818,18.6,2776,20.1,2711,21.4,1549,51.3
2/8/23,Jackson County,OK,93.8,16033,65.4,15989,70.3,15629,77,14806,80.3,3740,95,13759,56.1,13738,60.4,971,22.5,13455,66.3,12767,69.3,3304,88.4,5536,40.2,5536,40.3,5500,40.9,5380,42.1,3692,58.1,2273,68.8,1748,47.3,1241,54.6,Non-metro,24530,22746,4314,20286,18432,3738,2150,9.5,2130,10.5,2089,11.3,1186,31.7
2/8/23,Volusia County,FL,98.6,388050,70.1,387597,73.5,380799,77.8,363777,79.7,142125,95,339926,61.4,339740,64.4,20770,29.3,333972,68.2,318970,69.9,126427,91.7,161731,47.6,161724,47.6,161066,48.2,158193,49.6,127431,59.4,84048,66.5,61223,48,45807,54.5,Metro,553284,527440,70932,489686,456508,137811,59899,11.4,59597,12.2,58972,12.9,39657,28.8
2/8/23,Massac County,IL,97.9,7812,56.7,7800,59.9,7655,64.5,7303,67.6,2663,90.3,7048,51.2,7040,54.1,420,18.9,6925,58.3,6620,61.3,2470,83.8,3735,53,3735,53.1,3720,53.7,3648,55.1,2849,65.3,1821,73.7,1427,50.1,1021,56.1,Non-metro,13772,13018,2222,11873,10796,2948,1426,11,1419,12,1400,13,882,29.9
